handleId,fieldType,Name,Price,SKU,Image,Description,Brand,Colorway,InStock
asics-gel-lyte-v-concrete-retro-trail,Product,ASICS Gel-Lyte V Concrete Retro Trail,130.00,1203A288-020,https://image.goat.com/attachments/product_template_pictures/images/087/611/937/original/1203A288_020.png.png,,ASICS,Concrete/Clay Grey,in_stock
asics-gel-lyte-v-sand-retro-trail,Product,ASICS Gel-Lyte V Sand Retro Trail,130.00,1203A288-100,https://image.goat.com/attachments/product_template_pictures/images/087/611/938/original/1203A288_100.png.png,,ASICS,Cream/Sand,in_stock
asics-ex89-needles-black,Product,ASICS EX89 Needles Black,150.00,1201A942-001,https://image.goat.com/attachments/product_template_pictures/images/093/026/343/original/1201A942_001.png.png,,ASICS,Black/Purple/Grey,in_stock
asics-ex89-needles-white,Product,ASICS EX89 Needles White,150.00,1201A942-100,https://image.goat.com/attachments/product_template_pictures/images/093/026/344/original/1201A942_100.png.png,,ASICS,White/Purple/Grey,in_stock
asics-gel-kayano-legacy-white-black-red-blue,Product,ASICS Gel-Kayano Legacy White Black Red Blue,200.00,1203A325-100,https://image.goat.com/attachments/product_template_pictures/images/087/653/946/original/1203A325_100.png.png,,ASICS,White/Black,in_stock
asics-gel-kayano-legacy-pure-silver,Product,ASICS Gel-Kayano Legacy Pure Silver,200.00,1203A325-020,https://image.goat.com/attachments/product_template_pictures/images/094/303/167/original/1208422_00.png.png,,ASICS,Pure Silver/Pure Silver,in_stock
otto-958-x-gel-flexkee-958-'hunter-green',Product,OTTO 958 x Gel Flexkee 958 'Hunter Green',160.00,1201A921-300,https://image.goat.com/attachments/product_template_pictures/images/092/990/746/original/1201A921_300.png.png,,ASICS,Hunter Green/Black,in_stock
otto-958-x-gel-flexkee-958-'gunmetal',Product,OTTO 958 x Gel Flexkee 958 'Gunmetal',160.00,1201A921-020,https://image.goat.com/attachments/product_template_pictures/images/093/486/478/original/1265028_00.png.png,,ASICS,Gunmetal/Black,in_stock
blast-ff-3-'eggplant-aquamarine',Product,Blast FF 3 'Eggplant Aquamarine',140.00,1072A080-401,https://image.goat.com/attachments/product_template_pictures/images/093/197/370/original/1072A080_401.png.png,,ASICS,Eggplant/Aquamarine,in_stock
wmns-gel-kayano-14-'cream-blush',Product,Wmns Gel Kayano 14 'Cream Blush',150.00,1202A105-102,https://image.goat.com/attachments/product_template_pictures/images/094/065/658/original/1275222_00.png.png,,ASICS,Cream/Blush,in_stock
upcourt-5-'french-blue-white',Product,Upcourt 5 'French Blue White',60.00,1071A086-403,https://image.goat.com/attachments/product_template_pictures/images/093/197/366/original/1071A086_403.png.png,,ASICS,French Blue/White,in_stock
asics-gel-kayano-14-simply-taupe-oatmeal,Product,ASICS Gel-Kayano 14 Simply Taupe Oatmeal,150.00,1201A161-251,https://image.goat.com/attachments/product_template_pictures/images/089/329/078/original/1201A161_251.png.png,,ASICS,Simply Taupe/Oatmeal,in_stock
asics-gel-kayano-14-dark-sepia,Product,ASICS Gel-Kayano 14 Dark Sepia,150.00,1201A161-250,https://image.goat.com/attachments/product_template_pictures/images/092/990/742/original/1201A161_250.png.png,,ASICS,Dark Sepia/Dark Taupe,in_stock
asics-gel-lyte-iii-og-mineral-beige-simply-taupe,Product,ASICS Gel-Lyte III OG Mineral Beige Simply Taupe,130.00,1201A762-250,https://image.goat.com/attachments/product_template_pictures/images/090/435/176/original/1201A762_250.png.png,,ASICS,Mineral Beige/Simply Taupe,in_stock
wmns-patriot-13-'tarmac-hot-pink',Product,Wmns Patriot 13 'Tarmac Hot Pink',65.00,1012B312-022,https://image.goat.com/attachments/product_template_pictures/images/093/161/523/original/1012B312_022.png.png,,ASICS,Tarmac/Hot Pink,in_stock
asics-gel-lyte-iii-og-dark-taupe,Product,ASICS Gel-Lyte III OG Dark Taupe,130.00,1201A762-020,https://image.goat.com/attachments/product_template_pictures/images/090/435/175/original/1201A762_020.png.png,,ASICS,Taupe Grey/Dark Taupe,in_stock
lyteracer-4-'deep-ocean-glow-yellow',Product,Lyteracer 4 'Deep Ocean Glow Yellow',80.00,1011B349-412,https://image.goat.com/attachments/product_template_pictures/images/094/270/828/original/1011B349_412.png.png,,ASICS,Deep Ocean/Glow Yellow,in_stock
wmns-gt-2000-12-'tarmac-pink',Product,Wmns GT 2000 12 'Tarmac Pink',140.00,1012B506-022,https://image.goat.com/attachments/product_template_pictures/images/091/495/722/original/1012B506_022.png.png,,ASICS,Tarmac/Black,in_stock
gt-2000-12-extra-wide-'french-blue-foggy-teal',Product,GT 2000 12 Extra Wide 'French Blue Foggy Teal',140.00,1011B686-401,https://image.goat.com/attachments/product_template_pictures/images/091/495/695/original/1011B686_401.png.png,,ASICS,French Blue/Foggy Teal,in_stock
gt-2000-12-'black-carrier-grey',Product,GT 2000 12 'Black Carrier Grey',140.00,1011B691-002,https://image.goat.com/attachments/product_template_pictures/images/091/495/700/original/1011B691_002.png.png,,ASICS,Black/Carrier Grey,in_stock
wmns-gt-2000-12-'pure-aqua-pink',Product,Wmns GT 2000 12 'Pure Aqua Pink',140.00,1012B506-300,https://image.goat.com/attachments/product_template_pictures/images/091/495/724/original/1012B506_300.png.png,,ASICS,Pure Aqua/White,in_stock
gt-2000-12-'triple-black',Product,GT 2000 12 'Triple Black',140.00,1011B691-001,https://image.goat.com/attachments/product_template_pictures/images/091/495/699/original/1011B691_001.png.png,,ASICS,Black/Black,in_stock
gt-2000-12-wide-'black-carrier-grey',Product,GT 2000 12 Wide 'Black Carrier Grey',140.00,1011B689-002,https://image.goat.com/attachments/product_template_pictures/images/091/495/697/original/1011B689_002.png.png,,ASICS,Black/Carrier Grey,in_stock
wmns-gt-2000-12-wide-'tarmac-mint',Product,Wmns GT 2000 12 Wide 'Tarmac Mint',140.00,1012B504-020,https://image.goat.com/attachments/product_template_pictures/images/091/495/715/original/1012B504_020.png.png,,ASICS,Tarmac/Pure Silver,in_stock
gt-2000-12-wide-'triple-black',Product,GT 2000 12 Wide 'Triple Black',140.00,1011B689-001,https://image.goat.com/attachments/product_template_pictures/images/091/495/696/original/1011B689_001.png.png,,ASICS,Black/Black,in_stock
wmns-gt-2000-12-wide-'triple-black',Product,Wmns GT 2000 12 Wide 'Triple Black',140.00,1012B504-001,https://image.goat.com/attachments/product_template_pictures/images/091/495/711/original/1012B504_001.png.png,,ASICS,Black/Black,in_stock
gt-2000-12-extra-wide-'triple-black',Product,GT 2000 12 Extra Wide 'Triple Black',140.00,1011B686-001,https://image.goat.com/attachments/product_template_pictures/images/091/495/690/original/1011B686_001.png.png,,ASICS,Black/Black,in_stock
gt-2000-12-'metropolis-black',Product,GT 2000 12 'Metropolis Black',140.00,1011B691-020,https://image.goat.com/attachments/product_template_pictures/images/091/495/703/original/1011B691_020.png.png,,ASICS,Metropolis/Black,in_stock
gt-2000-12-'french-blue-foggy-teal',Product,GT 2000 12 'French Blue Foggy Teal',140.00,1011B691-401,https://image.goat.com/attachments/product_template_pictures/images/091/495/705/original/1011B691_401.png.png,,ASICS,French Blue/Foggy Teal,in_stock
gt-2000-12-'diva-pink',Product,GT 2000 12 'Diva Pink',140.00,1011B691-700,https://image.goat.com/attachments/product_template_pictures/images/091/495/708/original/1011B691_700.png.png,,ASICS,Diva Pink/White,in_stock
gel-venture-6-'birch-ironclad',Product,Gel Venture 6 'Birch Ironclad',80.00,1203A298-200,https://image.goat.com/attachments/product_template_pictures/images/095/328/412/original/1203A298_200.png.png,,ASICS,Birch/Ironclad,in_stock
wmns-gt-2000-12-wide-'pure-aqua-pink',Product,Wmns GT 2000 12 Wide 'Pure Aqua Pink',140.00,1012B504-300,https://image.goat.com/attachments/product_template_pictures/images/091/495/716/original/1012B504_300.png.png,,ASICS,Pure Aqua/White,in_stock
wmns-gt-2000-12-tr-'nature-bathing---lime-green',Product,Wmns GT 2000 12 TR 'Nature Bathing - Lime Green',150.00,1012B587-200,https://image.goat.com/attachments/product_template_pictures/images/091/534/021/original/1012B587_200.png.png,,ASICS,Nature Bathing/Lime Green,in_stock
wmns-gt-2000-12-'triple-black',Product,Wmns GT 2000 12 'Triple Black',140.00,1012B506-001,https://image.goat.com/attachments/product_template_pictures/images/091/495/717/original/1012B506_001.png.png,,ASICS,Black/Black,in_stock
wmns-gt-2000-12-'light-garnet',Product,Wmns GT 2000 12 'Light Garnet',140.00,1012B506-600,https://image.goat.com/attachments/product_template_pictures/images/091/495/725/original/1012B506_600.png.png,,ASICS,Light Garnet/Brisket Red,in_stock
